title,result_id,link,snippet,publication_summary,cites_id,pdf_url
Navigating the complexities of AI and digital governance: The 5W1H framework,krudi51rYi4J,https://www.sciencedirect.com/science/article/pii/S266665962500023X,"As AI and digital technologies advance rapidly, governance frameworks struggle to keep pace with emerging applications and risks. This paper introduces a"" 5W1H"" framework to …","SM Liao, I Haykel, K Cheung, T Matalon - Journal of Responsible …, 2025 - Elsevier",3342352197858737042,
Supporting teachers' value‐sensitive reflections on the cost–benefit dynamics of technology in educational practices,DRUrGSfWIm8J,https://bera-journals.onlinelibrary.wiley.com/doi/abs/10.1111/bjet.13592,"This paper explores the application of a benefits versus costs reflection approach within non‐university teaching environments, grounded in the principles of Value‐Sensitive Design …","D Hernández‐Leo, K Ginoyan - British Journal of Educational …, 2025 - Wiley Online Library",8008198550832485645,https://bera-journals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/bjet.13592
ForestGPT and Beyond: A Trustworthy Domain-Specific Large Language Model Paving the Way to Forestry 5.0,rolt_HUHGyoJ,https://www.mdpi.com/2079-9292/14/18/3583,"Large language models (LLMs) such as Chat Generative Pre-Trained Transformer (ChatGPT) are increasingly used across domains, yet their generic training data and …","F Ehrlich-Sommer, B Eberhard, A Holzinger - Electronics, 2025 - mdpi.com",3034026977291766190,
Generative artificial intelligence and large language models in smart healthcare applications: Current status and future perspectives,oABgMLNs1QEJ,https://www.sciencedirect.com/science/article/pii/S1476927125002725,"With climate change, habitat destruction, and increased population ages, the incidence of both communicable and non-communicable diseases is rising, and managing these has …","MA Haque, HR Siddique - Computational Biology and Chemistry, 2025 - Elsevier",132131280943841440,
Tracking menopause: An SDK Data Audit for intimate infrastructures of datafication with ChatGPT4o,s2BzHa5iEXIJ,https://journals.sagepub.com/doi/abs/10.1177/14614448251314401,This article presents a novel methodology to examine the tracking infrastructures that extend datafication across a sample of 14 menopause-related applications. The Software …,"J Pybus, M Mir - New Media & Society, 2025 - journals.sagepub.com",8219459294885798067,https://journals.sagepub.com/doi/pdf/10.1177/14614448251314401
INDONESIAN UNIVERSITY STUDENTS'PERCEPTIONS OF CHATGPT FOR ENGLISH ESSAY WRITING [PERSEPSI MAHASISWA INDONESIA …,YAmEX4fadEoJ,,,"RM Silalahi - Polyglot: Jurnal Ilmiah, 2025",5365153331063032160,https://ojs.uph.edu/index.php/PJI/article/download/8896/4731
Ainet0: AI Forecasting Based Carbon Neutral Cloud Resource Management for Net Zero Targets,UO-j0CrMU68J,https://onlinelibrary.wiley.com/doi/abs/10.1002/ett.70166,Cloud computing is increasingly integrating artificial intelligence (AI) techniques to optimize resource management and address the complex and fluctuating demands of modern cloud …,"H Wang, S Kannan, SS Gill… - Transactions on Emerging …, 2025 - Wiley Online Library",12633665863965470544,
The creative agency of large language models: a philosophical inquiry,92wqEI9nj3kJ,https://link.springer.com/article/10.1007/s43681-024-00557-9,"This paper explores the difficult question of whether Large Language Models (LLMs) are intrinsically creative. Because they can independently create original content, LLMs are …","PM Ukpaka - AI and Ethics, 2025 - Springer",8759333664408104183,https://link.springer.com/content/pdf/10.1007/s43681-024-00557-9.pdf
Does ChatGPT have a typical or atypical theory of mind?,4BYBPucAl94J,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1488172/full,"In recent years, the capabilities of Large Language Models (LLMs), such as ChatGPT, to imitate human behavioral patterns have been attracting growing interest from experimental …","M Attanasio, M Mazza, I Le Donne, F Masedu… - Frontiers in …, 2024 - frontiersin.org",16039289591081015008,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1488172/pdf
Leveraging ChatGPT for enhanced stock selection and portfolio optimization,UHM0erayVxYJ,https://link.springer.com/article/10.1007/s00521-024-10928-2,"The public release of ChatGPT represents a significant milestone in generative AI technology, enabling the autonomous generation of content based on pre-training. This …","Z Huang, B Liao, C Hua, X Cao, S Li - Neural Computing and Applications, 2025 - Springer",1609951888612291408,
"Knowledge, attitude, and perceptions of MENA researchers towards the use of ChatGPT in research: A cross-sectional study",lSPKb2Igi-QJ,https://www.cell.com/heliyon/fulltext/S2405-8440(24)17362-8?uuid=uuid%3Af691eeb7-15b2-4abc-8ce9-3f00676f527e,"Background Artificial intelligence (AI) technologies are increasingly recognized for their potential to revolutionize research practices. However, there is a gap in understanding the …","AJ Sana'a, HE Hasan, KH Alzoubi, OF Khabour - Heliyon, 2025 - cell.com",16468292069564752789,
Haircutting Robots: From Theory to Practice,GBSjrLyxaGoJ,https://www.mdpi.com/2673-4052/6/3/47,"The field of haircutting robots is poised for a significant transformation, driven by advancements in artificial intelligence, mechatronics, and humanoid robotics. This …","S Li - Automation, 2025 - mdpi.com",7667573789506606104,
Exploring educators' perspectives on ChatGPT integration in engineering and management education,jSKwdLqAiUsJ,https://www.emerald.com/jices/article/doi/10.1108/JICES-04-2025-0088/1270441,Purpose This study aims to explore educators' perspectives on integrating ChatGPT into engineering and management education. The focus of this research is to identify the benefits …,"P Bhaskar, M Khan, P Bhaskar - Journal of Information …, 2025 - emerald.com",,
Generating context-aware learning materials for software security via llm agents and traceability,wA6QjYM25NgJ,https://ieeexplore.ieee.org/abstract/document/11190192/,"This paper presents a prototype that embeds security-focused, contextualised learning directly into the software-development workflow. By using trace links which already bind …","BL Schüring, M Herrmann, A Specht… - 2025 IEEE 33rd …, 2025 - ieeexplore.ieee.org",15628676545526107840,
AI for One Welfare: the role of animal welfare scientists in developing valid and ethical AI-based welfare assessment tools,DV5jL8OjxvAJ,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2025.1645901/abstract,"The increasing use of artificial intelligence (AI) in livestock farming is accelerating the development of automated welfare assessment tools, particularly with advancement in …","B Foris, K Sheng, C Dürnberger, M Oczak… - Frontiers in Veterinary …, 2025 - frontiersin.org",,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2025.1645901/pdf
Automate the 'boring bits': An assessment of AI-assisted systematic review (AIASR),G8GU8Tyw-eYJ,https://www.sciencedirect.com/science/article/pii/S2772766125000795,"Systematic review is a powerful tool for disseminating the findings of research, particularly in applied linguistics where we hope to provide insights for practising language teachers. Yet …","T Hampson, K Cargos, J McKinley - Research Methods in Applied …, 2025 - Elsevier",,
Using large language models for solving thermodynamic problems,jC68NnJ36K8J,https://arxiv.org/abs/2502.05195,"Large Language Models (LLMs) have made significant progress in reasoning, demonstrating their capability to generate human-like responses. This study analyzes the …","R Loubet, P Zittlau, L Vollmer, M Hoffmann… - arXiv preprint arXiv …, 2025 - arxiv.org",12675512483662540428,https://arxiv.org/pdf/2502.05195
"Generative artificial intelligence-supported pentesting: a comparison between claude opus, gpt-4, and copilot",2QLuf7u6GTIJ,https://arxiv.org/abs/2501.06963,"The advent of Generative Artificial Intelligence (GenAI) has brought a significant change to our society. GenAI can be applied across numerous fields, with particular relevance in …","AL Martínez, A Cano, A Ruiz-Martínez - arXiv preprint arXiv:2501.06963, 2025 - arxiv.org",3610121890782118617,https://arxiv.org/pdf/2501.06963
Bias-Aware Agent: Enhancing Fairness in AI-Driven Knowledge Retrieval,4fxhbChYrKwJ,https://dl.acm.org/doi/abs/10.1145/3701716.3716885,"Advancements in retrieving accessible information have evolved faster in the last few years compared to the decades since the internet's creation. Search engines, like Google, have …","K Singh, W Ngu - Companion Proceedings of the ACM on Web …, 2025 - dl.acm.org",12442416801158135009,https://arxiv.org/pdf/2503.21237
Using large language models for solving textbook-style thermodynamic problems,fPhrk0BgDlEJ,https://www.sciencedirect.com/science/article/pii/S0098135425003357,"Abstract Large Language Models (LLMs) have made significant progress in reasoning, demonstrating their capability to generate human-like responses. This study analyzes the …","R Loubet, P Zittlau, L Vollmer, M Hoffmann… - Computers & Chemical …, 2025 - Elsevier",,
Strategies for integrating ChatGPT and generative AI into clinical studies,t5gKJgsKyx4J,https://link.springer.com/article/10.1007/s44313-024-00045-3,"Large language models, specifically ChatGPT, are revolutionizing clinical research by improving content creation and providing specific useful features. These technologies can …","JM Lee - Blood research, 2024 - Springer",2218878284409247927,https://link.springer.com/content/pdf/10.1007/s44313-024-00045-3.pdf
Large language models for scientific discovery in molecular property prediction,GbgvYHj59q8J,https://www.nature.com/articles/s42256-025-00994-z,Large language models (LLMs) are a form of artificial intelligence system encapsulating vast knowledge in the form of natural language. These systems are adept at numerous complex …,"Y Zheng, HY Koh, J Ju, ATN Nguyen, LT May… - Nature Machine …, 2025 - nature.com",12679596096313341977,
A network-based fuzzy clustering approach to classify Delphi outputs in scenario development,PbQ-AAcWA-AJ,https://link.springer.com/article/10.1007/s11135-025-02485-0,"This study introduces an advanced statistical methodology for analyzing Delphi outputs in scenario development, employing a novel combination of network-based fuzzy clustering …","Y Calleo, M Bolzan, S Di Zio - Quality & Quantity, 2025 - Springer",,https://link.springer.com/content/pdf/10.1007/s11135-025-02485-0.pdf
"ChatGPT and Digital Transformation: A Narrative Review of Its Role in Health, Education, and the Economy",2cO7OKB017kJ,https://www.mdpi.com/2673-6470/5/3/24,"ChatGPT, a prominent large language model developed by OpenAI, has rapidly become embedded in digital infrastructures across various sectors. This narrative review examines …","DØ Madsen, DM Toston - Digital, 2025 - mdpi.com",13391300248504878041,
Slowness as Postdigital Positionality in the Era of Generative AI: A Conversation,upmOB6l0mqcJ,https://link.springer.com/article/10.1007/s42438-025-00554-z,Our work explores the impact of generative AI (GenAI) on academic life through the lenses of three female scholars. It highlights how the rapid rise of AI technologies has created …,"JE Raffaghelli, M Ferrarelli, NL Rodríguez - Postdigital Science and …, 2025 - Springer",12077093620072487354,https://link.springer.com/content/pdf/10.1007/s42438-025-00554-z.pdf
Privacy Concerns in ChatGPT Data Collection and Its Impact on Individuals,JatZdjqAgygJ,https://www.mdpi.com/1999-5903/17/11/511,"With the rapid adoption of generative AI technologies across various sectors, it has become increasingly important to understand how these systems handle personal data. The study …","LM Alzamil, AM Alhasani, S Alshehri - Future Internet, 2025 - mdpi.com",,
"Maieutic, Natural, and Artificial Forms in Automatic Control Case Study",V5Mp1sgl-CoJ,https://www.mdpi.com/2078-2489/16/9/761,Maieutics is a remarkable method for discovering new insights through deep dialogue. Defined as “relating to or resembling the Socratic method of eliciting new ideas from …,"L Fortuna, A Scibilia - Information, 2025 - mdpi.com",,
Towards ai-supported research: a vision of the tib aissistant,aysOqvEzIWUJ,https://sci-k.github.io/2025/papers/paper09.pdf,"The rapid advancements in Generative AI and Large Language Models promise to transform the way research is conducted, potentially offering unprecedented opportunities to augment …","S Auer, A Oelen, MY Jaradeh, M Khalid… - … Workshop on Scientific …, 2025 - sci-k.github.io",7287162785095363435,https://sci-k.github.io/2025/papers/paper09.pdf
Impact of ChatGPT on Students' Learning Strategies and Critical Thinking Development,tEdhwBtai2UJ,http://www.jiecr.org/index.php/jiecr/article/view/2400,"The rapid integration of artificial intelligence (AI) technologies, such as ChatGPT, into education has raised concerns about their potential to suppress students' critical thinking …","M Ekowijayanto, AL Ulvia - Journal of Innovation in Educational and …, 2025 - jiecr.org",,http://www.jiecr.org/index.php/jiecr/article/download/2400/343
COUNTER: Cluster GCN based Energy Efficient Resource Management for Sustainable Cloud Computing Environments,dM9--Pf9JwYJ,https://arxiv.org/abs/2504.09995,"Cloud computing, thanks to the pervasiveness of information technologies, provides a foundational environment for developing IT applications, offering organizations virtually …","H Wang, SS Gill, S Uhlig - arXiv preprint arXiv:2504.09995, 2025 - arxiv.org",443602329787092852,https://arxiv.org/pdf/2504.09995
Redefining legal access: a RAG-based AI system for Indian law,O8eu_3WfR2wJ,https://link.springer.com/article/10.1007/s42454-025-00086-8,"This paper introduces “LegalEase,” an advanced legal question-answering (LQA) system specifically designed to simplify access to Indian legal knowledge. Built on the Retrieval …","F Mubeen, A Mehdi, MA Haque, MZM Nomani… - Human-Intelligent …, 2025 - Springer",,
Prototype development for contextualised learning of software vulnerabilities and mitigation based on real life cases,CG95SBxq9_cJ,https://www.pi.uni-hannover.de/fileadmin/pi/se/Stud-Arbeiten/2025/MA-Schuering-2025.pdf,This thesis details the creation and assessment of a prototype system aimed at improving contextualised learning of software vulnerabilities and mitigation measures through the use …,"BL Schuering - Master's Thesis, 2025 - pi.uni-hannover.de",17867866716323278600,https://www.pi.uni-hannover.de/fileadmin/pi/se/Stud-Arbeiten/2025/MA-Schuering-2025.pdf
"Navigating the Dual Edges of AI in Engineering Education: Opportunities, Challenges, and Societal Readiness",kGzR2yiWd1MJ,https://ieeexplore.ieee.org/abstract/document/10893083/,"This research full paper describes how integrating Artificial Intelligence (AI) in engineering education represents a transformative shift with profound implications. In this work, we …","A Azemi - 2024 IEEE Frontiers in Education Conference (FIE), 2024 - ieeexplore.ieee.org",6014440929607380112,
AttentionSmithy: A Modular Framework for Rapid Transformer Development and Customization,DqVgd_mTbkAJ,https://arxiv.org/abs/2502.09503,Transformer architectures have transformed AI applications but remain complex to customize for domain experts lacking low-level implementation expertise. We introduce …,"C Cranney, JG Meyer - arXiv preprint arXiv:2502.09503, 2025 - arxiv.org",,https://arxiv.org/pdf/2502.09503
An Overview of OpenAI's Sora and Its Potential for Physics Engine Free Games and Virtual Reality,3NMfpZ-a1tMJ,https://oulurepo.oulu.fi/handle/10024/52504,"Sora, OpenAI's latest text-to-video model, is particularly skilled at understanding the physical world, and all of the content it generates mostly consistent with the laws of physics. This …","Z Chen, S Li, MA Haque - 2024 - oulurepo.oulu.fi",15264557997479678940,https://oulurepo.oulu.fi/bitstream/handle/10024/52504/nbnfioulu-202411016550.pdf?sequence=1
ChatGPT: how to use it and the pitfalls/cautions in academia,QSkqDFI5R4EJ,https://synapse.koreamed.org/articles/1516093216,"The integration of large language models (LLMs) in academic research has transformed traditional research methodologies. This review investigates the current state, applications …","JM Lee - Annals of Pediatric Endocrinology & Metabolism, 2025 - synapse.koreamed.org",,https://synapse.koreamed.org/upload/synapsexml/1113apem/pdf/apem-2550028-014.pdf
Assessing and Refining ChatGPT's Performance in Identifying Targeting and Inappropriate Language: A Comparative Study,652uhLWfgHEJ,https://arxiv.org/abs/2505.21710,"This study evaluates the effectiveness of ChatGPT, an advanced AI model for natural language processing, in identifying targeting and inappropriate language in online …","B Baran, M Isa, V Piek - arXiv preprint arXiv:2505.21710, 2025 - arxiv.org",,https://arxiv.org/pdf/2505.21710
Digital Nudge Alerts: Fact-Checking Generative AI Responses,TO0MH4pb6c4J,https://link.springer.com/chapter/10.1007/978-981-96-0865-2_21,"Generative artificial intelligence (GenAI) chatbots have reshaped human-AI interaction behavior and transformed industries and educational sectors. Despite its advantages, GenAI …","CS Lee, KK Lim, H Lee, DHL Goh - International Conference on Asian …, 2024 - Springer",14909548690171293004,
Trends in Using Artificial Intelligence in Social and Natural Science Research,9pOec1P5G9UJ,https://dergipark.org.tr/en/pub/tamde/issue/92196/1674425,This article discusses trends in the use of artificial intelligence (AI) in social sciences and natural sciences research. The introduction highlights how AI has evolved into an essential …,"ZZA Thaariq, E Surahman, MSK Jaradat… - TAM Akademi …, 2025 - dergipark.org.tr",15356141491267212278,https://dergipark.org.tr/en/download/article-file/4765820
ChatGPT in Political Education: A Comparative Study of Student and Faculty Perspectives,NEZ-jjfn3Z0J,https://unisapressjournals.co.za/index.php/EAC/article/view/19336,This mixed-methods study explores the credibility of responses generated by artificial intelligence (AI) in facilitating the learning of international politics by comparing students' …,"H Song - Education as Change, 2025 - unisapressjournals.co.za",,https://unisapressjournals.co.za/index.php/EAC/article/download/19336/8788
Exploring the use of ChatGPT in improving students' paragraph composition skills,aFuibW35LbkJ,https://focusonelt.com/index.php/foe/article/view/186,This study aims to explore the effectiveness of ChatGPT in improving paragraph composition skills among students. By identifying both the benefits and challenges of using ChatGPT as …,"MIM Abdi, BDB Ananta, LH Nurbatra - Focus on ELT Journal, 2024 - focusonelt.com",13343595519354755944,https://focusonelt.com/index.php/foe/article/download/186/98
Integración de recursos de inteligencia artificial en los procesos educativos,MeX5KF02xyEJ,https://www.tecnologia-ciencia-educacion.com/index.php/TCE/article/view/24177,"Desde 2022, la adquisición de recursos de inteligencia artificial (IA) se ha acelerado en todo el mundo. En el ámbito educativo, esto supone la construcción de diversas …","PMB Salinas, AAR Maida… - Revista …, 2026 - tecnologia-ciencia-educacion.com",,https://www.tecnologia-ciencia-educacion.com/index.php/TCE/article/download/24177/24619
GitHub Copilot: Introducing the artificial intelligence tool in an information systems course.,Z4ivNADTsZkJ,https://iacis.org/iis/2024/4_iis_2024_106-117.pdf,"Artificial intelligence (AI) holds the potential to revolutionize the way businesses operate. With the promise of generating creative solutions for complex problems, AI's transformative …","WA Kapakos, HK Fulk - Issues in Information Systems, 2024 - iacis.org",11074864956518140007,https://iacis.org/iis/2024/4_iis_2024_106-117.pdf
Repensar la ética en la era de la IA: más allá de una pedagogía de la crueldad,y0dm1wVpMIoJ,https://www.scielo.cl/scielo.php?pid=S0718-50492025000100245&script=sci_abstract&tlng=en,"Resumen RAFFAGHELLI, Juliana; RIVERA-VARGAS, Pablo y DUSSEL, Inés. Rethinking Ethics in the era of AI: beyond a pedagogy of cruelty. Izquierdas (Santiago)[online]. 2025 …","J Raffaghelli, P Rivera-Vargas, I Dussel - Izquierdas, 2025 - SciELO Chile",,https://www.scielo.cl/pdf/izquierdas/v54/0718-5049-izquierdas-54-45.pdf
"Chatbots für den Arbeitsschutz: Nutzungsszenarien, Risiken und Empfehlungen",Vh3K8GLTg9sJ,https://link.springer.com/article/10.1007/s41449-025-00483-4,"Chatbots, die auf großen Sprachmodellen (large language model, LLM) basieren, wie z. B. ChatGPT, stellen eine besondere Form der Künstlichen Intelligenz (KI) dar. Diese …","S Robelski, A Dietz, M Jelenko… - Zeitschrift für …, 2025 - Springer",,https://link.springer.com/content/pdf/10.1007/s41449-025-00483-4.pdf
ChatGPT in supply chain management–a research model,oRhWrdyCMU8J,https://bazawiedzy.ue.poznan.pl/info/article/UEP564b7ee10dc94b2ba98452f178d03981/,Purpose: The aim of the research is to indicate potential areas of application for ChatGPT in the supply chain and the associated outcomes with reference to specific examples. The …,"A Maryniak… - … Śląskiej. Organizacja i …, 2024 - bazawiedzy.ue.poznan.pl",5706486087167645857,https://bazawiedzy.ue.poznan.pl/docstore/download/UEPc8035b1b54e94746ae2f384e380cec86/203-Maryniak-Pogorzelec-Glaser.pdf
From boundary object to boundary vision: the travelling dimensions of clinical genomics imaginaries,X0Vwc_5HcwcJ,https://summit.sfu.ca/item/39418,OncoGenomics is the merging of oncology and genomics—bringing genomic imaginaries from the Human Genome Project (HGP) into cancer care. This creates bioclinical collectives …,AM Charters - 2024 - summit.sfu.ca,,https://summit.sfu.ca/_flysystem/fedora/2025-05/etd23671.pdf
Not Ready… Yet: An Evaluation of ChatGPT's Ability to Identify and Synthesize Articles for Literature Reviews,hyhgqgIFk54J,https://kb.osu.edu/items/f9fe1fa4-292c-48e4-89bf-7ca3c224dff6,"This study evaluates the abilities of ChatGPT, an AI language model, in academic writing in social science. Specifically, it explores how effectively ChatGPT can (1) identify relevant …",T Wang - 2024 - kb.osu.edu,,https://kb.osu.edu/bitstreams/4efceeaa-061f-4ab9-ab91-b61449bb506e/download
"El uso de la IA en la industria publicitaria en España: interés, conocimiento y uso",-5oLANIWDCkJ,https://dialnet.unirioja.es/servlet/articulo?codigo=10363270,"Aunque han irrumpido en la sociedad recientemente, las herramientas de inteligencia artificial (IA) han permeado todos los ámbitos de conocimiento y de la sociedad, incluido el …","C del Pino Romero, SA McCabe, SH Damas - Icono14, 2025 - dialnet.unirioja.es",,https://dialnet.unirioja.es/descarga/articulo/10363270.pdf
Ética e inteligencia artificial en educación: un análisis bibliométrico de tendencias emergentes y desafíos,HBJ70w1pEbkJ,https://dialnet.unirioja.es/servlet/articulo?codigo=10157391,"El presente es un estudio descriptivo y retrospectivo basado en un análisis bibliométrico de las publicaciones científicas sobre la intersección de la ética, la inteligencia artificial (IA) y la …","ES Soriano - Ciencia y Educación, 2025 - dialnet.unirioja.es",13335555479724298780,https://dialnet.unirioja.es/descarga/articulo/10157391.pdf
A (2+ 1)-Party One-Instruction Set Processor for Private Function Evaluation,o75KCLeHjDUJ,https://ucalgary.scholaris.ca/items/f3198ea7-b1ed-4448-b64f-c4b88956f0d3,Secure multiparty computation (MPC) is a powerful cryptographic technique which allows mutually distrusting parties to compute a function on their shared inputs. MPC can be viewed …,C Jiang - 2025 - ucalgary.scholaris.ca,,https://ucalgary.scholaris.ca/bitstreams/c685f1eb-e960-4e1f-88b9-8364f95b1a04/download
"Knowledge Building, Multimodal Digital Storytelling, and Networked Communities",JYbhWHRjZR8J,https://search.proquest.com/openview/0f33f2d3fff2158e1ad855c72b26fbfb/1?pq-origsite=gscholar&cbl=18750&diss=y,This thesis explores the potential of multimodal storytelling and networked communities to support knowledge creation through sustained creative work with ideas. Knowledge …,RCS Huang - 2025 - search.proquest.com,,https://utoronto.scholaris.ca/bitstreams/9e8d47be-7321-4492-bc71-6e29dea91aa0/download
Conducting a Quantitative Study on ChatGPT to assess its Reliability in both Educational and Job Sectors,THU6BOnThWQJ,https://ieeexplore.ieee.org/abstract/document/11116348/,"The article reviews the impact of ChatGPT on education and job sectors, especially the IT professionals and the students of the universities. A survey was conducted with 230 …","R Ibrahim, S Sadiq, MF Hayat, HM Haris… - 2024 5th …, 2024 - ieeexplore.ieee.org",,
"What do Learners See in ChatGPT? Challenges, Benefits, and Writing in the Era of Generative AI Literacy",VdBeSlL9_TMJ,https://spectrum.library.concordia.ca/id/eprint/994773/,"This thesis examines the rapid, uncritical adoption of ChatGPT, a widely used generative AI model, by focusing on students' perceptions and use of the tool for writing tasks. The study …",K Irvine - 2024 - spectrum.library.concordia.ca,,https://spectrum.library.concordia.ca/id/eprint/994773/6/Irvine_MA_F2024.pdf
Improving the Robustness of Multimodal AI with Asynchronous and Missing Inputs,amlQRTBISvYJ,https://search.proquest.com/openview/6dfb02d042fe697132efb71de238980a/1?pq-origsite=gscholar&cbl=2026366&diss=y,Abstract Integrating Artificial Intelligence (AI) in clinical Decision Support Systems (DSS) can significantly transform healthcare in many ways to improve patient outcomes. Despite these …,RBB dos Santos - 2024 - search.proquest.com,,https://run.unl.pt/bitstream/10362/177871/1/Santos_2024.pdf
"Digital Ethics, Gender-Based Analysis and Canada's Quantum Strategy",vvWK674pjjMJ,https://www.cigionline.org/documents/2703/DPH-paper-Murphy.pdf,"New developments in quantum science and technology are on the precipice of a broad-based revolution in economics and security, bolstered by a new generation of quantum …",MPA Murphy - 2024 - cigionline.org,,https://www.cigionline.org/documents/2703/DPH-paper-Murphy.pdf
CONTENT ADAPTATION FOR STUDENTS WITH DEVELOPMENTAL DISORDERS THROUGH LARGE LANGUAGE MODELS,kX7SxbWg4GcJ,https://library.iated.org/view/MEDRANOCALDERON2024CON,"This study addresses the need to provide effective support to students with learning disorders, such as Attention Deficit Hyperactivity Disorder (ADHD) and Autism Spectrum …","DM Calderón, JS Tirados, MH Padilla… - EDULEARN24 …, 2024 - library.iated.org",,
"Improving the Contractor Management Process From Contractor Selection to Job Execution and Invoice Review: Strategies for Reducing Costs, and Increasing Safety …",g8y6XYCIvfwJ,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1897492,"This thesis investigates the contractor management processes at Holmen Iggesund, a leader in Sweden's forestry and forest products sector, focusing on reducing contractor cost …","ALI CICEK, O NILSSON - 2024 - diva-portal.org",,https://www.diva-portal.org/smash/get/diva2:1897492/FULLTEXT01.pdf
The Impact of Large Language Models on Academic Writing,MJMoFKogT5wJ,https://thesis.unipd.it/handle/20.500.12608/84777,"Large language models (LLMs) are increasingly used in academia for tasks such as drafting, editing, and summarizing. While these tools can improve productivity and …",S RACCUGLIA - thesis.unipd.it,,https://thesis.unipd.it/bitstream/20.500.12608/84777/1/Raccuglia_Simona.pdf
